发表了博文《男性应该了解的男科疾病有哪些呢？科普一下~-武汉博大男科》人们日常接触的有害物质中，主要来自于化学产业造成的空气、水等环境污染，还有随处可见的各种辐射，威胁人类的健康，男性的“生活标志”吸|男性应该了... ​,武汉博大男科医院怎么样,2016-06-16 13:47
﻿问家长：你觉得日常生活中以下哪些物质会对孩子眼睛健康有害？ 1、红外线； 2、紫外线； 3、电视/电脑辐射； 4、强烈的阳光； 5、蓝光； 6、眩光。 生活中，大多数家长会选择紫外线和红外线。当然这两项也有... |如何保护宝... ​,紫伊-ROSE,
﻿包括Wi-Fi信号在内，日常生活中的低强度电磁辐射并不会影响人体健康，目前也没有证据表明日常非电离辐射会导致孕妇流产率、胎儿畸形率提高。路由器“孕妇模式”的推出，实际上等于传播了“Wi-Fi信号有害”的错误信息，是通过传播谣言、煽动恐慌来制造需求。 ​,我有个想法-_-,2016-02-04 19:35
﻿【基站电磁辐射真如洪水猛兽吗？】电磁辐射有害人体健康的说法科学吗？基站和手机的电磁辐射究竟有多大？基站越密集电磁辐射就越大吗？我们在日常生活中如何将电磁辐射的影响降到最低？近日，《人民邮电》报记者采访了多位业内外的权威专家，为您还原电磁辐射的真实面貌……网页链接 ​,天津工业和信息化,
﻿"#网信动态# 【基站电磁辐射真如洪水猛兽吗？】电磁辐射有害人体健康的说法科学吗？基站和手机的电磁辐射究竟有多大？基站越密集电磁辐射就越大吗？我们在日常生活中如何将电磁辐射的影响降到最低？近日，记者采访了多位业内外的权威专家， ​
			...展开全文c",河南网信,2016-02-01 01:55
﻿包括Wi-Fi信号在内，日常生活中的低强度电磁辐射并不会影响人体健康，目前也没有证据表明日常非电离辐射会导致孕妇流产率、胎儿畸形率提高。路由器“孕妇模式”的推出，实际上等于传播了“Wi-Fi信号有害”的错误信息，是通过传播谣言、煽动恐慌来制造需求。 ​,长门有希改,
﻿回复@妈咪爱你qm:日常生活中使用手机、计算机等对胎儿是否有害尚无医学方面的研究依据，但是防总比不防好，可以通过以下方法防护：可以穿防辐射防护服，使用计算机时最好与计算机保持一臂之隔，尽量不要站在电磁波辐射严重的主机侧面或后方，这样比较安全。定期到医院进行产前检查是保证母婴健康的前提,十月呵护,2016-01-19 17:31
﻿@NicolaGao : @fangshimin 谁会去造牛奶的谣言？ 要理解这个问题其实并不困难，例如卖保健品的造谣国人“亚健康”状态；卖泻药的造谣“宿便”这个伪医学概念；卖防辐射用品的造谣日常电磁辐射对人体有害；卖有机食品的造谣吃转基因食品会让人断子绝孙…… ​,r狙击手,
﻿9大伪概念【转自果壳】网页链接 伪概念：日常辐射有害健康、足部反射区、小孔眼镜、法藤钛环、频谱治疗仪、左旋肉碱减肥、胶原蛋白美容、 功能水、干细胞美容 全是伪概念#别问为什么我就是果壳谣言粉碎机的脑残粉# ​,特级陈大宝,2016-01-19 14:53
﻿电暖气炉是比较新颖的家电，许多人都关心它在使用过程中到底会不会有电磁辐射，会不会有损人体健康呢?据介绍，在人们日常生活中，几乎所有的电器都有辐射，譬如家中的电视机、日光灯等普通家电。判断其对人体是否有害，关键要看辐射频率的高低 ​,胡戴羚,
﻿想要拥有真正健康活力定肌肤，先来个彻底深层清洁是必须的，在日常生活环境里甚至空气、粉尘里含有害物质、重金属，每天对着电脑也会辐射，长期积攒在毛孔皮肤深层形成的毒素，用再多的保养品护肤品，也都白搭，所以，排毒是我们的首要功课！#catgem糖果#反正已经是货不应求了，排毒完了之后记得补水。,佛山韩式半永久Cherry,2015-12-24 20:38
﻿想要拥有真正健康活力定肌肤，先来个彻底深层清洁是必须的，在日常生活环境里甚至空气、粉尘里含有害物质、重金属，每天对着电脑也会辐射，长期积攒在毛孔皮肤深层形成的毒素，用再多的保养品护肤品，也都白搭，所以，排毒是我们的首要功课！#catgem糖果#反正已经是货不应求了，排毒完了之后记得补水。 ​,广州佛山韩式半永久培训Suki,
﻿想要拥有真正健康活力定肌肤，先来个彻底深层清洁是必须的，在日常生活环境里甚至空气、粉尘里含有害物质、重金属，每天对着电脑也会辐射，长期积攒在毛孔皮肤深层形成的毒素，用再多的保养品护肤品，也都白搭，所以，排毒是我们的首要功课！#catgem糖果#反正已经是货不应求了，排毒完了之后记得补水。 ​,L_杨子,
﻿#女皇古皂# 【女皇古皂】准妈妈为了宝宝的健康必而备 | 怀孕期间的准妈妈为了宝宝的健康，都会注意到避免电磁辐射和有毒有害物质的影响，但是日常的生活细节也会带来一些小麻烦。  由于孕妇内分泌不同于正常人，皮肤过敏、皮肤瘙痒等状况是经常出现的。 ... 网页链接 ​,悠品道官网,
﻿#女皇古皂# 【女皇古皂】准妈妈为了宝宝的健康必而备 | 怀孕期间的准妈妈为了宝宝的健康，都会注意到避免电磁辐射和有毒有害物质的影响，但是日常的生活细节也会带来一些小麻烦。  由于孕妇内分泌不同于正常人，皮肤过敏、皮肤瘙痒等状况是经常出现的。 ... 网页链接 ​,悠品道官网,2015-08-27 10:06
﻿怀孕期间的准妈妈为了宝宝的健康，都会注意到避免电磁辐射和有毒有害物质的影响，但是日常的生活细节也会带来一些小麻烦。由于孕妇内分泌不同于正常人，皮肤过敏、皮肤瘙痒等状况是经常出现的。纯天然的女皇古皂是长久以来孕妇不可多得的生活必备洗浴用品。妇女怀孕期间是痔疮高发的时期… ​,执着有时未必有用,
﻿安全常识必看：冰箱辐射对人体有害吗？ 　　在日常生活中会用到各种家用电器，不少人都知道在特定条件下，这些电磁波可能成为“电磁污染”，危害到人们的健康。然而，电磁辐射对人体到底有什么影响，在什么情况下会对人体产生影响，多数人都不是太清楚。.. （分享自 @人民网） 网页链接 ​,环保人实在,2015-05-20 14:03
﻿【炎炎夏日，眼睛也要防晒？】紫外线中的有害光波可引起角膜炎、视网膜黄斑部损伤、白内障等眼病，这些伤害都是永久性的，因此我们在日常生活中，要特别注意对眼睛健康的保护：可以配戴防紫外线的太阳镜或隐形眼镜来使眼睛免受紫外线侵害；避免在上午11时—下午2时紫外线辐射最强时长时间地停留在户外 ​,石家庄康明眼镜,
﻿伪概念：日常辐射有害健康 真相：由于对辐射概念的错误认识，“辐射恐惧”变成了一种常见的“现代病”。商家抓住消费者的心理，对科学研究进行断章取义和歪曲，加剧人们的恐慌心理，为其所谓防辐射产品的销售造势。并没有科学研究证实日常接触的电磁辐射会对包括孕妇和胎儿在内的人群造成任何健康危害 ​,sina济宁美食,2015-03-27 14:12
﻿发表了博文《负离子为什么被称之为“环境警察”》摘要：我们日常生活空气环境中大量存在的正离子，或者是电磁辐射，都是危害人体健康的污染物，负离子能够中和这些正离子，维持空气清新纯净度，以此来避免这些有害物|负离子为什... ​,上榴人士2015,2016-09-27 14:35
﻿发表了博文《男性应该了解的男科疾病有哪些呢？科普一下~-武汉博大男科》人们日常接触的有害物质中，主要来自于化学产业造成的空气、水等环境污染，还有随处可见的各种辐射，威胁人类的健康，男性的“生活标志”吸|男性应该了... ​,武汉博大男科医院怎么样,
﻿问家长：你觉得日常生活中以下哪些物质会对孩子眼睛健康有害？ 1、红外线； 2、紫外线； 3、电视/电脑辐射； 4、强烈的阳光； 5、蓝光； 6、眩光。 生活中，大多数家长会选择紫外线和红外线。当然这两项也有... |如何保护宝... ​,紫伊-ROSE,2016-06-16 13:47
﻿包括Wi-Fi信号在内，日常生活中的低强度电磁辐射并不会影响人体健康，目前也没有证据表明日常非电离辐射会导致孕妇流产率、胎儿畸形率提高。路由器“孕妇模式”的推出，实际上等于传播了“Wi-Fi信号有害”的错误信息，是通过传播谣言、煽动恐慌来制造需求。 ​,我有个想法-_-,
﻿【基站电磁辐射真如洪水猛兽吗？】电磁辐射有害人体健康的说法科学吗？基站和手机的电磁辐射究竟有多大？基站越密集电磁辐射就越大吗？我们在日常生活中如何将电磁辐射的影响降到最低？近日，《人民邮电》报记者采访了多位业内外的权威专家，为您还原电磁辐射的真实面貌……网页链接 ​,天津工业和信息化,2016-02-04 19:35
﻿"#网信动态# 【基站电磁辐射真如洪水猛兽吗？】电磁辐射有害人体健康的说法科学吗？基站和手机的电磁辐射究竟有多大？基站越密集电磁辐射就越大吗？我们在日常生活中如何将电磁辐射的影响降到最低？近日，记者采访了多位业内外的权威专家， ​
			...展开全文c",河南网信,
﻿包括Wi-Fi信号在内，日常生活中的低强度电磁辐射并不会影响人体健康，目前也没有证据表明日常非电离辐射会导致孕妇流产率、胎儿畸形率提高。路由器“孕妇模式”的推出，实际上等于传播了“Wi-Fi信号有害”的错误信息，是通过传播谣言、煽动恐慌来制造需求。 ​,长门有希改,2016-02-01 01:55
﻿回复@妈咪爱你qm:日常生活中使用手机、计算机等对胎儿是否有害尚无医学方面的研究依据，但是防总比不防好，可以通过以下方法防护：可以穿防辐射防护服，使用计算机时最好与计算机保持一臂之隔，尽量不要站在电磁波辐射严重的主机侧面或后方，这样比较安全。定期到医院进行产前检查是保证母婴健康的前提,十月呵护,
﻿@NicolaGao : @fangshimin 谁会去造牛奶的谣言？ 要理解这个问题其实并不困难，例如卖保健品的造谣国人“亚健康”状态；卖泻药的造谣“宿便”这个伪医学概念；卖防辐射用品的造谣日常电磁辐射对人体有害；卖有机食品的造谣吃转基因食品会让人断子绝孙…… ​,r狙击手,2016-01-19 17:31
﻿9大伪概念【转自果壳】网页链接 伪概念：日常辐射有害健康、足部反射区、小孔眼镜、法藤钛环、频谱治疗仪、左旋肉碱减肥、胶原蛋白美容、 功能水、干细胞美容 全是伪概念#别问为什么我就是果壳谣言粉碎机的脑残粉# ​,特级陈大宝,
﻿电暖气炉是比较新颖的家电，许多人都关心它在使用过程中到底会不会有电磁辐射，会不会有损人体健康呢?据介绍，在人们日常生活中，几乎所有的电器都有辐射，譬如家中的电视机、日光灯等普通家电。判断其对人体是否有害，关键要看辐射频率的高低 ​,胡戴羚,2016-01-19 14:53
﻿想要拥有真正健康活力定肌肤，先来个彻底深层清洁是必须的，在日常生活环境里甚至空气、粉尘里含有害物质、重金属，每天对着电脑也会辐射，长期积攒在毛孔皮肤深层形成的毒素，用再多的保养品护肤品，也都白搭，所以，排毒是我们的首要功课！#catgem糖果#反正已经是货不应求了，排毒完了之后记得补水。,佛山韩式半永久Cherry,
﻿想要拥有真正健康活力定肌肤，先来个彻底深层清洁是必须的，在日常生活环境里甚至空气、粉尘里含有害物质、重金属，每天对着电脑也会辐射，长期积攒在毛孔皮肤深层形成的毒素，用再多的保养品护肤品，也都白搭，所以，排毒是我们的首要功课！#catgem糖果#反正已经是货不应求了，排毒完了之后记得补水。 ​,广州佛山韩式半永久培训Suki,2015-12-24 20:38
﻿想要拥有真正健康活力定肌肤，先来个彻底深层清洁是必须的，在日常生活环境里甚至空气、粉尘里含有害物质、重金属，每天对着电脑也会辐射，长期积攒在毛孔皮肤深层形成的毒素，用再多的保养品护肤品，也都白搭，所以，排毒是我们的首要功课！#catgem糖果#反正已经是货不应求了，排毒完了之后记得补水。 ​,L_杨子,
﻿#女皇古皂# 【女皇古皂】准妈妈为了宝宝的健康必而备 | 怀孕期间的准妈妈为了宝宝的健康，都会注意到避免电磁辐射和有毒有害物质的影响，但是日常的生活细节也会带来一些小麻烦。  由于孕妇内分泌不同于正常人，皮肤过敏、皮肤瘙痒等状况是经常出现的。 ... 网页链接 ​,悠品道官网,
﻿#女皇古皂# 【女皇古皂】准妈妈为了宝宝的健康必而备 | 怀孕期间的准妈妈为了宝宝的健康，都会注意到避免电磁辐射和有毒有害物质的影响，但是日常的生活细节也会带来一些小麻烦。  由于孕妇内分泌不同于正常人，皮肤过敏、皮肤瘙痒等状况是经常出现的。 ... 网页链接 ​,悠品道官网,
﻿怀孕期间的准妈妈为了宝宝的健康，都会注意到避免电磁辐射和有毒有害物质的影响，但是日常的生活细节也会带来一些小麻烦。由于孕妇内分泌不同于正常人，皮肤过敏、皮肤瘙痒等状况是经常出现的。纯天然的女皇古皂是长久以来孕妇不可多得的生活必备洗浴用品。妇女怀孕期间是痔疮高发的时期… ​,执着有时未必有用,2015-08-27 10:06
﻿安全常识必看：冰箱辐射对人体有害吗？ 　　在日常生活中会用到各种家用电器，不少人都知道在特定条件下，这些电磁波可能成为“电磁污染”，危害到人们的健康。然而，电磁辐射对人体到底有什么影响，在什么情况下会对人体产生影响，多数人都不是太清楚。.. （分享自 @人民网） 网页链接 ​,环保人实在,
﻿【炎炎夏日，眼睛也要防晒？】紫外线中的有害光波可引起角膜炎、视网膜黄斑部损伤、白内障等眼病，这些伤害都是永久性的，因此我们在日常生活中，要特别注意对眼睛健康的保护：可以配戴防紫外线的太阳镜或隐形眼镜来使眼睛免受紫外线侵害；避免在上午11时—下午2时紫外线辐射最强时长时间地停留在户外 ​,石家庄康明眼镜,2015-05-20 14:03
﻿伪概念：日常辐射有害健康 真相：由于对辐射概念的错误认识，“辐射恐惧”变成了一种常见的“现代病”。商家抓住消费者的心理，对科学研究进行断章取义和歪曲，加剧人们的恐慌心理，为其所谓防辐射产品的销售造势。并没有科学研究证实日常接触的电磁辐射会对包括孕妇和胎儿在内的人群造成任何健康危害 ​,sina济宁美食,2014-07-18 17:03
﻿【微波辐射是否有害取决于强度|辐射| 射线_凤凰健康】凤凰健康：您说日常仪器的时候，前段时间，或者一直以来大家都有一个质疑，微波炉，每天都用微波炉，说微波炉，孕妇要离微波炉远一点，正常人也要保持一些距... 网页链接 ​,徐州527,
﻿【微波辐射是否有害取决于强度|辐射| 射线_凤凰健康】凤凰健康：您说日常仪器的时候，前段时间，或者一直以来大家都有一个质疑，微波炉，每天都用微波炉，说微波炉，孕妇要离微波炉远一点，正常人也要保持一些距... 网页链接 ​,俞诚升1985,2014-05-26 13:05
