发表了博文《男人这些东西吃对了让你变“牛郎”吃错了就秒变“软脚虾”》男人这些东西吃对了让你变“牛郎”吃错了就秒变“软脚虾”一、与山药相克的食物：1，山药不能和虾通吃，虾属于海产品，两者同吃容易引起腹泻|男人这些东... ​,美食街的玫瑰v,2017-05-21 08:57
﻿伤了 真不敢再吃海鲜了绞着胀气疼 难道是跟一点点相克 食物中毒吗 ​,_雞叽唧叽吉,
﻿"五行中的«火» 　　属火的时令：夏季。　　属火的器官：心、小肠、舌　　属火的情志：喜　　属火的味道：苦味　　属火的食物：赤色食品。心属火，这时候容易上火，心绪不宁，心跳加快，给心脏增加负担，所以夏季最重要的是养心。除了多吃养心食物之外，根据五行相克原理，肾克制心火，冬季好好补 ​
			...展开全文c",灵魂有香气Di女子,2017-05-20 23:22
﻿发表了博文《男人这些东西吃对了让你变“牛郎”吃错了就秒变“软脚虾”》男人这些东西吃对了让你变“牛郎”吃错了就秒变“软脚虾”一、与山药相克的食物：1，山药不能和虾通吃，虾属于海产品，两者同吃容易引起腹泻|男人这些东... ​,美食街的玫瑰v,
﻿我觉得吃江苏人比较好，补脑子，但是一定要注意不能混着吃，食物可能相克,itsnoneofyourbusinessaha,2017-05-20 18:13
﻿发表了博文《男人这些东西吃对了让你变“牛郎”吃错了就秒变“软脚虾”》男人这些东西吃对了让你变“牛郎”吃错了就秒变“软脚虾”一、与山药相克的食物：1，山药不能和虾通吃，虾属于海产品，两者同吃容易引起腹泻|男人这些东... ​,美食街的玫瑰v,
﻿【与葡萄酒相克的食物】1、酸：几乎所有酸味很浓的菜肴都比较难和美酒相配；2、洋蓟，奇怪的味道让酒有金属味；3、芦笋：同洋蓟；4、蛋黄：柔软的蛋黄会覆盖并束缚住口腔，使味蕾变得无助迟钝，可以在品酒前来点面包清理一下味觉；5、巧克力，同蛋黄；6、熏鱼；7、薄荷；8、香料 ​,康圩健康商城,2017-05-20 16:34
﻿食物相克说被医学界和营养学界否认，有关实验未能证明有相克效果。我交流过的中医专家也大多不同意“食物相克”，认为只有“药物相反”。有些说法是古人以讹传讹，比如“芝麻+鸡肉致死”；有的是胃肠功能不良者需要注意，比如“螃蟹和柿子致腹痛”，但并不是适用于所有人的铁律。​​​​//@user12345:,中国科普博览,
﻿昨晚吃了相克的食物，半夜起来吐的要死 ​,祥子0606,
﻿发表了博文《7种食物与鸡蛋相克，同吃有中毒的危险！》7种食物与鸡蛋相克，同吃有中毒的危险！1.鸡蛋与柿子相克与鸡蛋同食，轻则食物中毒，导致上吐、下泻、腹痛，重则会导致急性肠胃炎或肺结石。2.鸡蛋与菠萝|7种食物与... ​,北京董老师,2017-05-20 15:27
﻿东霸天噗【食物相生相克表】每个人都应该保存一份，知道有些食物之间的搭配会有什么作用吗？有相克的，也有相生的，给大家详细的分析 ? ​,龙井商务,
﻿#喝健康蜜# 喝蜂蜜讲究适量，同时注意禁忌相克食物，蜂蜜+葱=腹泻 |湖北省·恩... ​,农哈哈-无为,2017-05-19 19:04
﻿绿豆汤和什么不能一起吃 6种食物与绿豆汤相克_饮食禁忌_饮食指南 网页链接 ​,岚心mm19840903,
﻿好多人相信的食物“相克”的说法，来源是东汉张仲景的《金匮要略》，该书提到48对食物不能放在一起吃，如螃蟹与柿子、葱与蜂蜜、甲鱼与苋菜等。对其真实效果，完全可以实验检验。//@开水族馆的生物男:表示右边的饮料味道还行//@折翼丛林:转发微博 网页链接,章晓华微博,2017-05-19 16:03
﻿亲，吃海参，一定要注意哈，有一些食物和海参是相克的，千万要注意了。 ​,小慢De海参店,
﻿食物的相生与相克表，搭配吃的时候要注意哦！ ​,和秋天的枫叶,
﻿"49.自然有成长，是事物磨合，可磨成啥样?汉语解释:磨是摩擦，是阻碍，是一种粉碎粮食的工具。实践认知:磨是接触后遇到阻碍才发生摩擦、挤压的现象。有形的磨，是人为制造的石磨，把食物由大磨小，由小磨粉。无形的磨，是自然折磨，把碰撞的事物由冲突磨到平和，由相克磨到相生，磨成结构平衡循环的系统 ​
			...展开全文c",梦蕊1964,
﻿#吃货神吐槽# 在专家眼里，任何两种食物都能相克。这是不科学的，我们多力的油和每种美食都相生。 ​,多力生活家,2017-05-19 15:58
